,id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,zipcode
0,5.80366E+17,Delridge,Highland Park,47.51075,-122.34122,Entire home/apt,149,98146
1,5164039,West Seattle,Arbor Heights,47.4977,-122.37003,Entire home/apt,98,98146
2,33448826,Delridge,Highland Park,47.50452,-122.34009,Entire home/apt,335,98146
3,6606,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,98103
4,9419,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,80,98108
5,9531,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,185,98136
6,9534,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,145,98136
7,9596,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,130,98103
8,9909,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,225,98126
9,25002,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,89,98117
10,677266,Other neighborhoods,Georgetown,47.55041,-122.31857,Private room,70,98108
11,30712,Ballard,Loyal Heights,47.67843,-122.38207,Entire home/apt,67,98117
12,68508,Cascade,Eastlake,47.63815,-122.32344,Entire home/apt,165,98102
13,107884,West Seattle,Alki,47.57985,-122.40412,Entire home/apt,135,98116
14,677365,Delridge,South Delridge,47.52957,-122.36013,Entire home/apt,139,98106
15,116221,Other neighborhoods,Fremont,47.65474,-122.35546,Entire home/apt,75,98103
16,681866,Central Area,Atlantic,47.59245,-122.30322,Private room,60,98144
17,689309,Other neighborhoods,Broadview,47.72131,-122.35846,Private room,155,98177
18,119103,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,90,98103
19,132120,Other neighborhoods,Wallingford,47.66938,-122.33516,Entire home/apt,75,98103
20,703058,Other neighborhoods,Wallingford,47.65144,-122.33734,Entire home/apt,260,98103
21,132160,Other neighborhoods,Green Lake,47.68205,-122.34275,Entire home/apt,184,98103
22,704764,Queen Anne,North Queen Anne,47.64057,-122.36956,Entire home/apt,198,98119
23,151545,Capitol Hill,Portage Bay,47.65062,-122.32008,Entire home/apt,299,98102
24,706385,Cascade,Eastlake,47.64307,-122.32556,Entire home/apt,127,98102
25,170273,Queen Anne,Lower Queen Anne,47.62734,-122.35793,Entire home/apt,670,98119
26,708774,Cascade,Eastlake,47.64,-122.32412,Entire home/apt,109,98102
27,202251,Other neighborhoods,Phinney Ridge,47.67757,-122.36172,Entire home/apt,300,98117
28,723723,Central Area,Harrison/Denny-Blaine,47.61896,-122.28818,Entire home/apt,524,98112
29,210316,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,60,98117
30,723846,Northgate,Maple Leaf,47.69839,-122.31505,Entire home/apt,147,98115
31,748526,Other neighborhoods,Phinney Ridge,47.67846,-122.36325,Entire home/apt,61,98117
32,219532,Other neighborhoods,Fremont,47.65589,-122.36055,Entire home/apt,325,98107
33,757840,Queen Anne,East Queen Anne,47.63349,-122.35611,Entire home/apt,529,98109
34,226536,Magnolia,Lawton Park,47.66133,-122.40088,Private room,77,98199
35,789229,Downtown,Pioneer Square,47.59393,-122.33262,Entire home/apt,155,98134
36,226677,Beacon Hill,Mid-Beacon Hill,47.55062,-122.31827,Private room,57,98108
37,241016,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,375,98119
38,241032,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,139,98119
39,254340,Other neighborhoods,Phinney Ridge,47.67632,-122.36019,Entire home/apt,85,98117
40,793629,Beacon Hill,North Beacon Hill,47.57734,-122.31492,Entire home/apt,121,98144
41,260613,Ballard,Whittier Heights,47.687,-122.36697,Entire home/apt,150,98117
42,841274,Rainier Valley,Mount Baker,47.58548,-122.29458,Entire home/apt,100,98144
43,278830,Queen Anne,West Queen Anne,47.6341,-122.37296,Entire home/apt,496,98119
44,844939,Downtown,Belltown,47.61503,-122.3475,Entire home/apt,189,98121
45,284087,Downtown,First Hill,47.6121,-122.33,Entire home/apt,169,98101
46,303277,Cascade,Eastlake,47.64424,-122.32397,Entire home/apt,150,98102
47,846763,Other neighborhoods,Ravenna,47.67995,-122.30859,Private room,50,98115
48,338091,Capitol Hill,Broadway,47.61965,-122.32374,Entire home/apt,350,98102
49,877203,Central Area,Atlantic,47.60029,-122.30185,Private room,53,98144
50,879181,Central Area,Atlantic,47.60096,-122.3019,Private room,53,98144
51,340738,Capitol Hill,Stevens,47.62376,-122.30494,Entire home/apt,195,98112
52,902609,Delridge,Highland Park,47.52383,-122.35287,Entire home/apt,80,98106
53,904057,Ballard,West Woodland,47.66617,-122.36693,Entire home/apt,139,98107
54,353110,West Seattle,North Admiral,47.58037,-122.39163,Entire home/apt,125,98116
55,942490,Other neighborhoods,Greenwood,47.68726,-122.36279,Private room,104,98117
56,356248,Capitol Hill,Portage Bay,47.65047,-122.32022,Entire home/apt,224,98102
57,356608,Downtown,First Hill,47.61401,-122.32235,Entire home/apt,224,98122
58,365550,Downtown,International District,47.60002,-122.32742,Private room,120,98104
59,948077,Capitol Hill,Broadway,47.62845,-122.32513,Entire home/apt,225,98102
60,368403,Other neighborhoods,Green Lake,47.68528,-122.33125,Entire home/apt,645,98103
61,1000883,West Seattle,North Admiral,47.58246,-122.39668,Entire home/apt,135,98116
62,1012003,Capitol Hill,Broadway,47.63948,-122.32236,Private room,145,98102
63,370361,Other neighborhoods,Phinney Ridge,47.68271,-122.35768,Private room,118,98103
64,387078,Capitol Hill,Broadway,47.62361,-122.32577,Entire home/apt,128,98102
65,1022135,Northgate,Haller Lake,47.70662,-122.34358,Private room,82,98133
66,1023693,Ballard,Whittier Heights,47.67936,-122.3704,Entire home/apt,167,98117
67,392140,Beacon Hill,North Beacon Hill,47.58576,-122.31581,Private room,80,98144
68,1042022,Capitol Hill,Madison Park,47.63326,-122.28009,Entire home/apt,135,98112
69,392779,Beacon Hill,North Beacon Hill,47.57389,-122.31428,Entire home/apt,162,98144
70,421168,Other neighborhoods,Greenwood,47.70021,-122.35106,Private room,90,98103
71,1048798,West Seattle,Fauntleroy,47.52586,-122.38272,Entire home/apt,253,98136
72,1090449,Capitol Hill,Broadway,47.61769,-122.32645,Entire home/apt,102,98122
73,430610,Other neighborhoods,Wallingford,47.65356,-122.33952,Entire home/apt,502,98103
74,1097520,Rainier Valley,Mount Baker,47.56692,-122.28106,Entire home/apt,121,98118
75,1100686,Other neighborhoods,Fremont,47.65417,-122.35402,Private room,63,98103
76,1112092,Queen Anne,West Queen Anne,47.63555,-122.365,Entire home/apt,135,98119
77,1114695,Other neighborhoods,Wallingford,47.66215,-122.33879,Entire home/apt,512,98103
78,447523,Other neighborhoods,Wedgwood,47.68387,-122.29024,Private room,58,98115
79,1122236,Capitol Hill,Broadway,47.62383,-122.32381,Entire home/apt,195,98102
80,461234,Ballard,Whittier Heights,47.68444,-122.37338,Entire home/apt,99,98117
81,475361,Lake City,Cedar Park,47.71652,-122.29126,Private room,77,98125
82,1125133,University District,University District,47.65908,-122.31771,Entire home/apt,120,98105
83,1146966,Other neighborhoods,Fremont,47.65474,-122.3526,Private room,98,98103
84,490076,Other neighborhoods,Fremont,47.65617,-122.35262,Entire home/apt,132,98103
85,491958,Rainier Valley,Columbia City,47.56007,-122.27873,Entire home/apt,79,98118
86,1150519,University District,University District,47.67113,-122.31419,Entire home/apt,300,98105
87,493591,Other neighborhoods,Crown Hill,47.7019,-122.36781,Private room,95,98177
88,544433,Queen Anne,Lower Queen Anne,47.61957,-122.35655,Entire home/apt,95,98109
89,1157083,Downtown,First Hill,47.61248,-122.32861,Entire home/apt,285,98101
90,1159111,Downtown,First Hill,47.61385,-122.32245,Entire home/apt,204,98122
91,552325,Capitol Hill,Portage Bay,47.65043,-122.32021,Entire home/apt,229,98102
92,564220,Rainier Valley,Mount Baker,47.57783,-122.29251,Private room,60,98144
93,1171574,Central Area,Madrona,47.60962,-122.2952,Entire home/apt,76,98122
94,565703,Central Area,Mann,47.62125,-122.29697,Entire home/apt,179,98112
95,1175308,Ballard,Loyal Heights,47.6781,-122.38932,Entire home/apt,180,98117
96,1190224,Lake City,Matthews Beach,47.69414,-122.27722,Private room,60,98115
97,566435,Other neighborhoods,Crown Hill,47.70084,-122.36738,Private room,75,98117
98,573942,Other neighborhoods,Georgetown,47.54916,-122.31819,Private room,70,98108
99,1190571,Lake City,Matthews Beach,47.69413,-122.2762,Private room,60,98115
100,598023,West Seattle,Genesee,47.56162,-122.38812,Private room,129,98116
101,604600,Downtown,Central Business District,47.61326,-122.33148,Entire home/apt,282,98101
102,1219691,Northgate,Haller Lake,47.73206,-122.33943,Entire home/apt,139,98133
103,607788,Downtown,Central Business District,47.61317,-122.33346,Private room,232,98101
104,609252,Other neighborhoods,Greenwood,47.69647,-122.36322,Entire home/apt,275,98117
105,1256892,Other neighborhoods,Phinney Ridge,47.67758,-122.35822,Entire home/apt,107,98117
106,609610,Rainier Valley,Columbia City,47.56994,-122.29403,Entire home/apt,95,98144
107,609701,Other neighborhoods,Fremont,47.65607,-122.35899,Entire home/apt,99,98107
108,1260259,Magnolia,Lawton Park,47.66046,-122.40292,Entire home/apt,160,98199
109,1265651,University District,University District,47.66456,-122.3046,Entire home/apt,170,98105
110,611509,Other neighborhoods,Wallingford,47.6638,-122.33827,Private room,80,98103
111,1273432,Central Area,Minor,47.60188,-122.30785,Entire home/apt,304,98122
112,620518,Other neighborhoods,Ravenna,47.67489,-122.29078,Entire home/apt,115,98115
113,1299597,Central Area,Leschi,47.60178809,-122.2935744,Entire home/apt,125,98122
114,631445,Downtown,Belltown,47.61373,-122.34887,Entire home/apt,95,98121
115,1301535,Ballard,Loyal Heights,47.68359,-122.38034,Entire home/apt,111,98117
116,635878,University District,University District,47.66313,-122.31428,Entire home/apt,108,98105
117,637710,Other neighborhoods,Fremont,47.653,-122.35595,Entire home/apt,240,98103
118,1351716,Central Area,Atlantic,47.59674,-122.30964,Entire home/apt,92,98144
119,1355094,Capitol Hill,Broadway,47.62195,-122.32262,Private room,35,98102
120,1356339,Capitol Hill,Broadway,47.62235,-122.32594,Entire home/apt,200,98102
121,1365882,University District,University District,47.66178,-122.30149,Entire home/apt,125,98105
122,654734,Downtown,First Hill,47.61311,-122.32947,Entire home/apt,168,98101
123,661708,Central Area,Harrison/Denny-Blaine,47.62563,-122.29181,Entire home/apt,245,98112
124,1407502,Ballard,West Woodland,47.67306,-122.36651,Private room,70,98107
125,1647216,University District,University District,47.66281,-122.31305,Entire home/apt,101,98105
126,1417880,University District,University District,47.66139,-122.31495,Entire home/apt,108,98105
127,1684236,Downtown,First Hill,47.61215,-122.32971,Entire home/apt,120,98101
128,1439237,Central Area,Leschi,47.6076,-122.29081,Private room,88,98122
129,1686930,Queen Anne,West Queen Anne,47.63059,-122.36509,Entire home/apt,199,98119
130,1455269,Rainier Valley,Columbia City,47.56591,-122.28939,Entire home/apt,120,
131,1484595,University District,University District,47.65865,-122.31784,Entire home/apt,105,98105
132,1696015,Magnolia,Briarcliff,47.63232,-122.39463,Entire home/apt,375,98199
133,1488166,Ballard,Sunset Hill,47.67595,-122.40073,Entire home/apt,295,98117
134,1493349,Other neighborhoods,Ravenna,47.66822,-122.2986,Entire home/apt,120,98105
135,1494828,Cascade,Eastlake,47.63996,-122.32414,Entire home/apt,142,98102
136,1494986,Queen Anne,East Queen Anne,47.63346,-122.34558,Entire home/apt,171,98109
137,1531351,University District,University District,47.65745,-122.31625,Entire home/apt,94,98105
138,1531458,University District,University District,47.66502,-122.30352,Entire home/apt,116,98105
139,1696194,Magnolia,Briarcliff,47.63236,-122.39476,Entire home/apt,230,98199
140,1696389,Queen Anne,West Queen Anne,47.6304,-122.37041,Entire home/apt,300,98119
141,1716901,Capitol Hill,Broadway,47.61884,-122.32476,Entire home/apt,127,98102
142,1732441,Delridge,North Delridge,47.56204,-122.36149,Entire home/apt,90,98106
143,1556170,Beacon Hill,North Beacon Hill,47.57352,-122.30891,Entire home/apt,79,98144
144,1737244,Other neighborhoods,Bryant,47.67148,-122.28099,Private room,71,98105
145,1562643,Capitol Hill,Broadway,47.62543,-122.32496,Entire home/apt,260,98102
146,1764100,University District,University District,47.66316,-122.31276,Entire home/apt,125,98105
147,1579615,Ballard,Adams,47.67566,-122.38795,Entire home/apt,121,98117
148,1773803,University District,University District,47.6568,-122.31299,Entire home/apt,92,98105
149,1588658,University District,University District,47.670322,-122.315468,Entire home/apt,229,98105
150,1775016,Capitol Hill,Broadway,47.62543,-122.32496,Private room,89,98102
151,1802663,Other neighborhoods,Wallingford,47.65428,-122.33766,Entire home/apt,116,98103
152,1588941,Ballard,Whittier Heights,47.68413,-122.37347,Private room,93,98117
153,1807936,Northgate,Maple Leaf,47.70265,-122.31618,Private room,60,98125
154,1589681,Ballard,Loyal Heights,47.67909,-122.38422,Entire home/apt,80,98117
155,1820794,Queen Anne,East Queen Anne,47.63089,-122.34815,Entire home/apt,150,98109
156,1593991,Other neighborhoods,North Beach/Blue Ridge,47.69106,-122.38337,Private room,150,98117
157,1594219,Other neighborhoods,Broadview,47.71483,-122.35631,Private room,999,98133
158,1594313,Other neighborhoods,Broadview,47.71395,-122.3561,Private room,999,98133
159,1603124,University District,University District,47.66108,-122.31434,Entire home/apt,108,
160,1851863,Other neighborhoods,Greenwood,47.69674,-122.34621,Entire home/apt,82,98103
161,1629525,Beacon Hill,North Beacon Hill,47.57741,-122.30158,Private room,44,98144
162,1900698,Rainier Valley,Columbia City,47.55306,-122.28104,Private room,35,98118
163,2950213,Ballard,Adams,47.66482,-122.38316,Entire home/apt,224,98107
164,2970666,Capitol Hill,Broadway,47.62192,-122.32569,Entire home/apt,195,98102
165,1905473,Central Area,Mann,47.60728,-122.29714,Private room,75,98122
166,1909058,Queen Anne,West Queen Anne,47.63812,-122.37077,Private room,100,98119
167,2976798,Other neighborhoods,Wallingford,47.65491,-122.32722,Private room,65,98105
168,2989758,Other neighborhoods,Fremont,47.66143,-122.35278,Entire home/apt,167,98103
169,1925661,Beacon Hill,North Beacon Hill,47.57943,-122.30387,Private room,45,98144
170,2995996,Central Area,Mann,47.62126,-122.29708,Entire home/apt,459,98112
171,3022308,University District,University District,47.6647,-122.30345,Entire home/apt,105,98105
172,1928010,Capitol Hill,Broadway,47.62543,-122.32496,Private room,89,98102
173,3022564,Rainier Valley,Columbia City,47.55995,-122.28322,Entire home/apt,95,98118
174,1935439,Other neighborhoods,Greenwood,47.70407,-122.36123,Private room,30,98177
175,1976382,Capitol Hill,Broadway,47.62372,-122.32417,Entire home/apt,200,98102
176,3053269,Ballard,Adams,47.67322,-122.3824,Entire home/apt,589,98107
177,1983713,Central Area,Leschi,47.59181,-122.29372,Entire home/apt,106,98144
178,3061918,West Seattle,North Admiral,47.57142,-122.38029,Private room,75,98126
179,1984692,Other neighborhoods,Greenwood,47.68448,-122.34495,Entire home/apt,360,98103
180,3121829,Ballard,Adams,47.67204,-122.38053,Entire home/apt,104,98107
